company_name,request_url,request_company_url,location,tags,founding_date,founders,urls,emails,phones,description_short,description
wowintro,https://e27.co/startup/wowintro,http://wowintro.me/,Malaysia,"Advertising,Platform",,,,,,wowintro is a platform of online impressions where users market themselves via 30 second videos.,wowintro is a platform of online impressions where users market themselves via 30 second videos.
Online Competitive Exam Preparation,https://e27.co/startup/online-competitive-exam-preparation,http://opennaukri.com/,India,,,opennaukri,"http://www.twitter.com/opennaukri,https://www.facebook.com/OpenNaukri,https://www.linkedin.com/in/open-naukri-741703110?trk=nav_responsive_tab_profile",,,"Opennaukri is a peculiar job search app that guides the candidates in all possible ways, through job alerts, Online Competitive Exam Preparation, and exam preparation tips and tricks.",
E.B.L Naturopathic Clinic,https://e27.co/startup/e-b-l-naturopathic-clinic,http://www.eblclinic.ca/,Canada,Healthtech,,E.B.L Naturopathic Clinic,https://www.facebook.com/EBLClinic,,,"At EBL Naturopathic Clinic, we combine the guiding principles and therapies of Naturopathic Medicine and combine them with Traditional Chinese Medicine.","Combining the traditional naturopathic approach with modern therapies and the best functional assessment tools, we help you gain back control of your health and your life. EBL wants to help simplify achieving optimal health by addressing the foundational pillars of good health and creating customized solutions for you."
dr-discount,https://e27.co/startup/dr-discount,https://www.dr-discount.nl/kortingscode-zalando,Netherlands,,,Bram Schuijten,,,,Dr-discount is the biggest discounts and coupons website in the Netherlands. All our discount codes are checked manually and updated frequently.,
Oasis Web Asia,https://e27.co/startup/oasis-web-asia,https://www.oasiswebasia.com/,Singapore,,,,,,,"Oasis Web Asia is focusing on web design, website development, app development, e-Commerce and content management system (CMS) solution and hosting services for all businesses.","Oasis Web Asia is focusing on web design, website development, app development, e-Commerce and content management system (CMS) solution and hosting services for all businesses. They build innovative, aesthetically appealing applications for iOS and Android apps that offer a superior user experience.We are an award-winning Web and Mobile App development companyOasis Web Asia was founded in 2009 and since then, we have crafted more than 100 websites and mobile applications serving many MMC and SME companies in Singapore.In 2015, we merged with Illigo Pte Ltd to further enhance our strength in Enterprise web development, Mobile app development, and IOT development.Our agency was awarded Promising SME 500 award by the Small Medium Business Association (SMBA) of Singapore, in recognition of the tremendous values that we create for our customers.We are awarded Excellence in Mobile Marketing with ION Orchard under Marketing Magazine’s Agency Of The Year Awards 2015 to accredit our achievement in mobile app development and marketing."
Highlight Story,https://e27.co/startup/highlight-story,http://highlightstory.com/,United States of America,,,Highlight Story,"http://www.twitter.com/highlightstory,https://www.facebook.com/highlightstories",,,"Read and write stories, submit classifieds and make profile - all at one place.","Spending hours on reading useless articles do not have any worth, so here at HighlightStory we have come with numerous interesting articles on different niches. All contents are informative and entertaining; you won’t feel boring even for a second while reading.Apart from providing reading stuff, we have many more things for our readers. Such as:Be a Writer – Yes, you heard it right. Here at HighlightStory, we provide an open platform for the people who want to write quality content and get it published in front of vast audience. Be the important part of our writing community and become successful writer.Post a Classified Ad – Post your ad on our classified section and get your desirable product, job, apartment or a date. Sellers and buyers find HighlightStory classified portal easily comprehensible. Just fill few details and publish your classified ad.Business or Personal Profile – Whether you are establish business or startup, creating business profile at HighlightStory is really beneficial for your business. Explain as much as you can about your business and make it easy for searchers to find you. Creating business or personal profile at HighlightStory is a long term fruitful result.Know more at http://highlightstory.com"
Excellence Code,https://e27.co/startup/excellence-code,http://www.excellencecode.ae,United Arab Emirates,"Advertising,Design ,PR & Communications,Information & Communications Technology",January 2012,Excellence Code,"http://www.twitter.com/excellencecode,http://excellencecodeuae,https://www.linkedin.com/company/excellence-code-media-&-advertising",,,Excellence code is an advertising agency offering various digital media services,"Excellence code, started our journey as a brand identity and design company in 2012 which is now flourished into a full-fledged digital media servicing company in Dubai.  Creativity in designing and commitment to customers are the major factors that distinguish us. We make unique brand identity to your business with our digital media services. We are one of the growing web development companies in Dubai offering other services like web hosting, domain registration, printing services, event management and so on."
Eggbun Education,https://e27.co/startup/eggbun-education,http://www.eggbun-edu.com/,South Korea,"Education,Software as a Service",,,"https://www.facebook.com/eggbun.edu/,https://www.linkedin.com/company/eggbun-education",,,"They're a small team working to make every beginning-level language learner 'conversational'. Currently, Eggbun Education focuses on three core tasks in order to realize their mission.","They're a small team working to make every beginning-level language learner 'conversational'. Currently, Eggbun Education focuses on three core tasks in order to realize their mission.* Building a pocket-sized automated tutor.* Helping users from study habit.* Helping users internalize their studies.Eggbun Education was started in 2015 with the launch of their initial Korean language learning app, 'Chat to Learn Korean with Eggbun' as a way to facilitate Korean language learning for any Korean language and culture lover.Honored to be supported by many of their customers, they do their best to enhance our application and expand into other languages."
One-O-One,https://e27.co/startup/one-o-one,http://oneoone.co.in,India,,,oneoone101,,,,"One O One Restaurant POS Management Software is one of the most helpful POS & KOT management software that helps in the management of restaurant business operations like billing, inventory tracking.",
GreenTomatoMedia Limited,https://e27.co/startup/greentomatomedia-limited,http://www.greentomatomedia.com/,Hong Kong,"Advertising,Software as a Service,Information & Communications Technology",,,"http://www.twitter.com/SimEFP,https://www.facebook.com/greentomatomedia,http://www.linkedin.com/in/simonlegouge",,,GreenTomatoMedia provides High Quality SEO services on a pay-as-you-grow business model. Clients only pay when their website is on first page.,"GreenTomatoMedia provides High Quality SEO services on a pay-as-you-grow business model. Clients only pay when their website is on first page.Established in 2012 by Simon Legouge after 3 years of being a successful independent affiliate, GreenTomatoMedia LTD started from scratch and focus on edition of websites and apps.They don’t offer SEO services they’re too busy crushing it with their stuff. However they can recommend you great partners.GreenTomato’s mission is to become the European largest lead partners on highly competitive niche in Entertainment, Shopping, Education, Dating, Finance and Health.GreenTomato identifies and builds proven Internet business models and transfers them to new, untapped markets where it seeks to scale them into market leading online websites.The company was founded in 2012 and now has more than 1100 websites in 5 different languages generating thousands of leads a day."
ChrysoTech,https://e27.co/startup/chrysotech,http://ChrysoTech.com,Pakistan,,September 2017,Ahmad,,,,"
											",
Qualitician,https://e27.co/startup/qualitician,https://www.qualitician.com/,India,,,Ram Uppalapati,"http://www.twitter.com/Qualiticians,https://facebook.com/Qualitician,https://www.linkedin.com/company/qualitician",,,Career portal for Software Quality Control (Software Testing) and Software Quality Assurance Professionals.,
Invenbot Pte. Ltd.,https://e27.co/startup/invenbot-pte-ltd,http://www.invenbot.com,Singapore,"Hardware,Agency & Consulting,Design ,Energy,Manufacturing,Robotics",August 2016,Invenbot Li,,,,Engineering & Technology Outsourcing and Prototyping Company in Singapore,
NovelPlus Sdn Bhd,https://e27.co/startup/novelplus-sdn-bhd,http://www.novelplus.co/,Malaysia,"Media,Information & Communications Technology",,,"http://www.twitter.com/ppNovelplus,https://www.facebook.com/novelplus",,,"NovelPlus is an open platform that encourage writers to engage and delight their readers with a beautiful, connected experience, so the stories being shared will resonate.","NovelPlus is an open platform that encourage writers to engage and delight their readers with a beautiful, connected experience, so the stories being shared will resonate.NovelPlus is a mobile social reading app and creative publishing open platform that connects people all over the world. They have a vision and a serious goal, which doesn’t sound that unusual, but it relies on a whole bunch of people having fun to do it. They want people who are truly passionate about joining their revolutionary to change the way people publish and read."
 BDS STZ TechnoSystems Pvt Ltd,https://e27.co/startup/bds-stz-technosystems-pvt-ltd,https://stzsoft.com/web-and-application-development-services/,India,,,STZ SOFT,,,,STZ Soft is a professional web design company mumbai. We provide high quality web design services at Mumbai to corporate across India.,
HotBounty Sdn Bhd,https://e27.co/startup/hotbounty-sdn-bhd,http://www.hotbounty.com,Malaysia,"Advertising,Platform",March 2015,Peter Chua,,,,We get people to recommend qualified potential customers to business owners/SMEs,
Climate Zone,https://e27.co/startup/climate-zone,https://www.climatezone.com.au,Australia,,,Darren Hawkless,,,,"Climate Zone offers you a world of services for air conditioning maintenance in Melbourne, with professionals at your disposal throughout the year. ",
Tripper,https://e27.co/startup/tripper,http://www.trip-per.com/,China,"Mobile,Software as a Service,Travel",,,"http://www.twitter.com/Tripper_APP,https://www.facebook.com/pages/Tripper/451148238281594,https://www.linkedin.com/company/tripper-net?trk=mini-profile",,,TRIPPER collects and categorizes all the world’s things to do so you can research less and do more. ,"At TRIPPER, they understand that traveling with a local is absolutely the best way to travel. Their APP not only connects you to a local multilingual assistant, but one equipped with specialized databases, a GPS map of their location, and with a special camera option.Combining the best of technology and human power, TRIPPER looks to be your local helper wherever you are in the world.TRIPPER collects and categorizes all the world’s things to do so you can research less and do more. Africa to Oceania and back again, they make it simple for you to Find and Book an Activity that will make your trip — or your day.It’s a big world out there. Let’s go exploring!"
ALGONQUIN INVESTMENTS PTY LTD,https://e27.co/startup/algonquin-investments-pty-ltd,http://www.algonquininvestments.com,Australia,,May 1985,Russell Yardley FAICD,"http://www.twitter.com/rmyardley,http://rmyardley,https://au.linkedin.com/in/russellyardley",,,Investor mainly in the technology space.,"Algonquin Investments held the equity in Decision Engineers (1985) sold into ASI joint venture 1987, Applied Learning Limited (1987) IPO 1993, Acumen People & Productivity Pty Ltd (1991) sold to NASDAQ listed ICT Learning 1996, Acumentum Pty Ltd (1995) sold to Jadelynx 2007. Since 2007 has been the private investment vehicle for Russell Yardley to invest in Readify Limited (2012), Tesserent Limited (2015), Blue Sky Private Equity Limited (2013) and a number of other smaller entities.The company focuses on established IT companies that are poised to grow and where strategy from experience in IT can be leveraged to build substantial value."
Yume no Machi Souzou Iinkai,https://e27.co/startup/yume-no-machi-souzou-iinkai,http://yumenomachi.co.jp/,Japan,"Food & Beverage,Logistics/Supply Chain",,,,,,Yume No Machi is an online food order and delivery provider in Japan.,Yume No Machi is an online food order and delivery provider in Japan.
OrangeApps,https://e27.co/startup/orangeapps,http://orangeapps.ph/,Philippines,"Education,Enterprise Solution",,,https://www.facebook.com/orangeappsph/,,,OrangeApps school management system is a web and mobile platform that allows schools to manage it's entire operation using an end to end solution,"OrangeApps school management system is a web and mobile platform that allows schools to manage it's entire operation using an end to end solution from online enrollment,tuition fee monitoring,class scheduling, online learning and a whole lot more. Schools will now be able to save time, money and focus more on providing better education."
Cilalek Consultant,https://e27.co/startup/cilalek-consultant,http://konsultan-pemberdayaan.blogspot.com/,Indonesia,Agency & Consulting,,,,,,"Cilalek Consultant present to contribute on solving development problem through management assistant focus on training, mentoring and outsourcing.","Development in emerging country such as Indonesia is currently facing problem of over population, high pressure to natural resource and mall-system of government that produced from sector perspective of development approach. In result of social, economic, environmental problem, the situation are more complicated to solve. Cilalek Consultant present to contribute on solving development problem through management assistant focus on training, mentoring and outsourcing. Cilalek Consultant are playing on education sector by providing sustainable development school is starting for early age. Provide services of strategic planning of business expansion, and handle technical support of management outsourcing for business as head hunter."
